,precision,recall,f1-score,support
love,0.5333333333333333,1.0,0.6956521739130436,16.0
surprise,1.0,0.4166666666666667,0.5882352941176471,24.0
accuracy,0.65,0.65,0.65,0.65
macro avg,0.7666666666666666,0.7083333333333334,0.6419437340153453,40.0
weighted avg,0.8133333333333332,0.65,0.6312020460358057,40.0
